Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
01/05/2022,1,TN,10904610,9013128,131980,8829175,4031587,3521599,1283604,,
01/05/2022,1,IH2,2550795,2034818,97696,2034818,1031240,821992,196431,,
01/05/2022,1,CA,76439625,66672914,168740,66763517,32949335,26287137,9130489,,
01/05/2022,1,IL,23424565,20069018,158375,20271750,9221817,8174855,3272995,,
01/05/2022,1,NE,3429950,2888013,149297,2894439,1290698,1163125,482817,,
01/05/2022,1,WI,10132395,9215196,158271,9189810,3992478,3622142,1666068,,
01/05/2022,1,KS,5209315,4118688,141375,4216161,2031921,1668327,578949,,
01/05/2022,1,BP2,300210,280274,0,280274,135913,128614,28498,,
01/05/2022,1,HI,2975310,2273074,160542,2302034,1269622,905468,166692,,
01/05/2022,1,DD2,6254550,6915223,0,6915223,3861639,2879514,1179,,
01/05/2022,1,MP,113330,97466,187973,97569,43670,40614,14339,,
01/05/2022,1,TX,52079695,41091042,141713,39906360,19506458,16595147,4886892,,
12/28/2020,53,ID,47375,0,0,0,0,0,,,
01/05/2022,1,ME,2924750,2537223,188752,2548820,1160574,1022974,466954,,
01/05/2022,1,NM,3794455,3462716,165141,3581200,1699320,1393646,551566,,
01/05/2022,1,NC,18923600,15081751,143799,14931660,8100465,5976587,1248375,,
01/05/2022,1,OK,6277450,5363679,135550,5312435,2631688,2126244,655935,,
01/05/2022,1,OR,8481665,6871792,162926,6868713,3130107,2808446,1119646,,
01/05/2022,1,CT,7482495,6743344,189139,6755346,3189596,2672784,1070760,,
01/05/2022,1,MN,10930110,9238147,163808,9242241,4047025,3706358,1765898,,
01/05/2022,1,FM,109760,84437,82522,85186,48976,43210,3788,,
01/05/2022,1,FL,40827295,34001604,158311,33593369,16093212,13659111,4464061,,
01/05/2022,1,GA,18382505,13487907,127036,13522018,6543890,5451292,1592147,,
01/05/2022,1,CO,10884185,9593260,166586,9565054,4312780,3826926,1597391,,
01/05/2022,1,DC,1611055,1303997,184768,1220803,629884,478939,135687,,
01/05/2022,1,VI,135860,131386,123611,128814,63770,53966,12647,,
01/05/2022,1,ID,2872610,2037350,114005,2049456,934970,828305,324255,,
01/05/2022,1,VA2,7550480,6981987,0,6981987,3342194,2912537,946450,,
01/05/2022,1,SC,8856415,6789054,131859,6761549,3253228,2747148,890759,,
